order_id,order_date,customer_id,customer_state,product_category,price,quantity,payment_type,order_status,freight_value,total_value
35,2023-07-09,1145,CE,Beleza,1440.89,2,Boleto,Entregue,89.11,2970.8900000000003
36,2023-06-24,1957,RJ,Eletrônicos,101.58,4,Boleto,Entregue,74.35,480.66999999999996
37,2023-02-20,1292,PR,Moda,174.07,4,Boleto,Entregue,85.82,782.0999999999999
38,2023-12-30,1664,PR,Casa,94.78,4,Pix,Entregue,113.3,492.42
39,2023-02-24,1431,PE,Beleza,302.36,1,Boleto,Entregue,37.5,339.86
40,2023-09-01,1704,PE,Moda,825.67,2,Boleto,Entregue,68.86,1720.1999999999998
41,2023-11-16,1948,BA,Beleza,978.99,4,Pix,Entregue,85.86,4001.82
42,2023-05-11,1974,BA,Moda,97.01,1,Pix,Cancelado,84.72,181.73000000000002
43,2023-11-03,1584,SC,Casa,1420.58,1,Pix,Cancelado,37.75,1458.33
44,2023-05-15,1398,SC,Casa,1267.98,1,Pix,Cancelado,74.54,1342.52
45,2023-01-21,1816,CE,Esporte,466.02,2,Cartão de Crédito,Em trânsito,97.55,1029.59
46,2023-11-25,1888,SC,Moda,143.47,1,Cartão de Crédito,Entregue,62.26,205.73
47,2023-06-16,1343,RJ,Esporte,279.73,2,Boleto,Entregue,97.26,656.72
48,2023-10-01,1963,RJ,Moda,216.61,3,Cartão de Crédito,Entregue,49.59,699.4200000000001
49,2023-03-30,1139,PR,Esporte,211.23,1,Boleto,Cancelado,113.26,324.49
50,2023-11-12,1186,RS,Casa,792.29,4,Cartão de Crédito,Em trânsito,68.73,3237.89
51,2023-01-14,1804,RJ,Beleza,391.4,1,Pix,Entregue,75.55,466.95
52,2023-08-30,1060,MG,Esporte,556.47,3,Pix,Entregue,13.45,1682.8600000000001
53,2023-09-22,1996,BA,Moda,1484.57,3,Cartão de Crédito,Entregue,28.73,4482.44
54,2023-12-12,1938,PE,Moda,1035.94,1,Cartão de Crédito,Cancelado,79.62,1115.56
55,2023-02-22,1379,SC,Casa,1425.0,3,Boleto,Entregue,56.19,4331.19
56,2023-12-06,1709,PR,Moda,239.56,2,Boleto,Entregue,65.9,545.02
57,2023-04-02,1806,SP,Eletrônicos,591.75,2,Boleto,Entregue,16.93,1200.43
58,2023-09-21,1439,PE,Beleza,845.46,1,Pix,Entregue,101.75,947.21
59,2023-02-04,1318,MG,Esporte,142.83,2,Pix,Cancelado,96.3,381.96000000000004
60,2023-07-25,1301,SC,Beleza,36.16,2,Pix,Entregue,30.39,102.71
61,2023-03-22,1343,MG,Casa,1015.54,4,Pix,Cancelado,79.78,4141.94
62,2023-02-19,1010,BA,Esporte,973.47,1,Boleto,Entregue,100.01,1073.48
63,2023-12-26,1061,BA,Esporte,633.86,3,Pix,Cancelado,80.49,1982.07
64,2023-01-02,1844,CE,Eletrônicos,749.78,1,Pix,Cancelado,44.14,793.92
65,2023-02-23,1225,PR,Casa,640.7,2,Pix,Entregue,82.17,1363.5700000000002
66,2023-04-16,1152,PE,Moda,65.29,4,Pix,Entregue,33.15,294.31
67,2023-09-17,1710,PE,Eletrônicos,523.0,1,Cartão de Crédito,Entregue,45.01,568.01
68,2023-11-06,1563,SP,Eletrônicos,290.31,1,Boleto,Entregue,36.41,326.72
69,2023-07-10,1771,PR,Beleza,174.68,2,Boleto,Cancelado,71.26,420.62
70,2023-08-06,1570,MG,Beleza,1436.38,2,Pix,Entregue,21.9,2894.6600000000003
71,2023-02-13,1583,SP,Beleza,911.06,1,Cartão de Crédito,Cancelado,112.66,1023.7199999999999
72,2023-06-11,1659,RS,Eletrônicos,1101.12,2,Boleto,Entregue,46.69,2248.93
73,2023-07-21,1860,PE,Moda,493.58,2,Boleto,Entregue,34.09,1021.25
74,2023-09-27,1574,MG,Esporte,607.93,2,Pix,Entregue,64.62,1280.48
75,2023-12-17,1309,RJ,Beleza,378.28,2,Pix,Entregue,40.47,797.03
76,2023-10-31,1884,CE,Moda,172.54,2,Boleto,Entregue,68.84,413.91999999999996
77,2023-09-28,1242,PR,Casa,293.18,4,Boleto,Cancelado,48.34,1221.06
78,2023-08-03,1492,BA,Beleza,1202.35,2,Cartão de Crédito,Entregue,24.53,2429.23
79,2023-09-09,1365,RJ,Esporte,1025.99,3,Boleto,Cancelado,39.25,3117.2200000000003
80,2023-07-09,1329,CE,Casa,833.99,1,Boleto,Entregue,58.23,892.22
81,2023-10-23,1106,CE,Casa,728.38,4,Pix,Entregue,13.33,2926.85
82,2023-08-01,1225,RS,Esporte,1385.98,4,Boleto,Em trânsito,94.77,5638.6900000000005
83,2023-07-27,1824,RS,Beleza,136.92,2,Pix,Em trânsito,78.4,352.24
84,2023-08-25,1217,SC,Eletrônicos,442.48,1,Boleto,Entregue,76.15,518.63
85,2023-12-04,1936,SC,Esporte,544.41,3,Boleto,Em trânsito,70.07,1703.3
86,2023-02-22,1752,SP,Esporte,1180.17,2,Boleto,Entregue,74.93,2435.27
87,2023-10-07,1505,CE,Esporte,1489.0,1,Cartão de Crédito,Entregue,112.81,1601.81
88,2023-08-05,1258,RJ,Casa,383.79,2,Pix,Entregue,10.94,778.5200000000001
89,2023-09-09,1887,PR,Moda,1315.23,2,Cartão de Crédito,Em trânsito,15.26,2645.7200000000003
90,2023-07-07,1773,CE,Eletrônicos,1251.02,2,Boleto,Entregue,31.06,2533.1
91,2023-02-10,1516,RS,Beleza,360.25,2,Cartão de Crédito,Entregue,28.4,748.9
92,2023-06-06,1772,MG,Beleza,617.02,2,Pix,Entregue,29.93,1263.97
93,2023-01-15,1053,BA,Moda,632.22,2,Boleto,Entregue,83.91,1348.3500000000001
94,2023-10-28,1046,SC,Esporte,1467.98,2,Cartão de Crédito,Entregue,60.54,2996.5
95,2023-03-06,1726,PE,Eletrônicos,295.91,3,Cartão de Crédito,Entregue,119.1,1006.83
96,2023-12-11,1688,MG,Beleza,1204.76,4,Pix,Entregue,34.96,4854.0
97,2023-11-23,1520,PR,Beleza,521.26,3,Cartão de Crédito,Entregue,44.19,1607.97
98,2023-01-09,1098,RS,Esporte,1104.38,2,Pix,Entregue,118.27,2327.03
99,2023-12-10,1019,RS,Moda,647.42,2,Boleto,Entregue,101.49,1396.33
100,2023-05-09,1889,RS,Eletrônicos,880.19,3,Boleto,Entregue,61.68,2702.25
101,2023-05-16,1752,PE,Moda,1253.94,3,Cartão de Crédito,Entregue,71.01,3832.8300000000004
102,2023-03-04,1572,SC,Moda,1212.12,4,Boleto,Cancelado,102.75,4951.23
103,2023-05-19,1890,MG,Eletrônicos,1303.64,3,Boleto,Entregue,62.91,3973.83
104,2023-03-22,1489,PR,Eletrônicos,117.64,4,Cartão de Crédito,Entregue,32.66,503.22
105,2023-06-12,1418,SC,Beleza,1047.31,2,Boleto,Entregue,101.13,2195.75
106,2023-10-16,1689,PR,Beleza,235.78,1,Cartão de Crédito,Cancelado,69.15,304.93
107,2023-09-18,1849,SC,Eletrônicos,641.25,1,Pix,Cancelado,26.83,668.08
108,2023-08-19,1061,PE,Casa,836.42,1,Pix,Entregue,65.61,902.03
109,2023-02-10,1144,BA,Beleza,622.03,1,Pix,Entregue,55.45,677.48
110,2023-01-28,1215,PR,Casa,793.83,2,Cartão de Crédito,Entregue,106.45,1694.1100000000001
111,2023-05-15,1002,SC,Eletrônicos,1494.89,1,Cartão de Crédito,Entregue,23.87,1518.76
112,2023-07-20,1159,RS,Beleza,228.77,3,Boleto,Entregue,106.27,792.58
113,2023-11-24,1738,CE,Moda,1022.92,3,Boleto,Entregue,66.34,3135.1
114,2023-09-25,1997,RS,Eletrônicos,612.12,1,Boleto,Cancelado,54.48,666.6
115,2023-02-02,1780,SP,Esporte,225.52,3,Boleto,Entregue,27.82,704.3800000000001
116,2023-02-17,1119,BA,Casa,263.34,4,Boleto,Entregue,87.09,1140.4499999999998
117,2023-03-03,1892,BA,Eletrônicos,1425.43,2,Cartão de Crédito,Entregue,111.95,2962.81
118,2023-08-04,1088,RS,Eletrônicos,1323.01,1,Cartão de Crédito,Entregue,51.29,1374.3
119,2023-10-20,1328,MG,Beleza,1363.35,1,Pix,Entregue,36.57,1399.9199999999998
120,2023-04-09,1579,PE,Beleza,1487.55,2,Pix,Entregue,71.04,3046.14
121,2023-06-21,1909,PR,Beleza,336.22,3,Pix,Entregue,97.58,1106.24
122,2023-12-26,1356,BA,Esporte,552.5,2,Pix,Entregue,10.41,1115.41
123,2023-08-02,1609,RS,Beleza,1013.75,2,Cartão de Crédito,Entregue,79.45,2106.95
124,2023-02-04,1266,RS,Eletrônicos,741.19,3,Cartão de Crédito,Entregue,75.62,2299.19
125,2023-08-15,1616,PE,Beleza,645.03,2,Cartão de Crédito,Entregue,45.0,1335.06
126,2023-04-11,1951,PE,Moda,555.98,3,Boleto,Entregue,59.66,1727.6000000000001
127,2023-05-11,1322,RJ,Beleza,902.86,3,Boleto,Entregue,37.17,2745.75
128,2023-09-14,1634,RJ,Esporte,876.12,2,Pix,Entregue,96.89,1849.13
129,2023-01-05,1987,MG,Moda,267.34,4,Boleto,Entregue,79.8,1149.1599999999999
130,2023-08-06,1540,MG,Eletrônicos,723.46,3,Cartão de Crédito,Entregue,68.6,2238.98
131,2023-09-12,1648,SP,Eletrônicos,843.6,2,Pix,Entregue,53.18,1740.38
132,2023-12-25,1194,MG,Casa,868.32,3,Pix,Entregue,42.05,2647.01
133,2023-10-10,1920,SC,Moda,338.86,4,Boleto,Entregue,100.5,1455.94
134,2023-07-26,1737,PE,Casa,1121.14,4,Pix,Em trânsito,59.65,4544.21
135,2023-01-15,1331,SC,Moda,67.04,1,Boleto,Entregue,65.16,132.2
136,2023-12-12,1169,PR,Moda,551.6,3,Boleto,Entregue,67.29,1722.0900000000001
137,2023-02-11,1520,RS,Esporte,1176.91,3,Pix,Entregue,59.32,3590.0500000000006
138,2023-06-28,1462,MG,Casa,858.92,2,Boleto,Entregue,38.17,1756.01
139,2023-03-04,1039,RS,Esporte,413.91,3,Boleto,Cancelado,23.24,1264.97
140,2023-12-18,1536,BA,Moda,1051.58,1,Boleto,Entregue,20.84,1072.4199999999998
141,2023-08-19,1260,SP,Eletrônicos,864.06,4,Boleto,Em trânsito,93.32,3549.56
142,2023-08-29,1394,BA,Moda,1200.48,4,Pix,Entregue,34.59,4836.51
143,2023-02-21,1954,SP,Esporte,1110.49,1,Cartão de Crédito,Entregue,16.12,1126.61
144,2023-04-06,1225,RJ,Casa,926.86,3,Cartão de Crédito,Cancelado,97.73,2878.31
145,2023-08-10,1983,RS,Casa,747.62,3,Boleto,Entregue,26.95,2269.81
146,2023-08-19,1123,SP,Esporte,225.78,1,Boleto,Entregue,78.77,304.55
147,2023-08-25,1974,CE,Casa,414.16,2,Boleto,Entregue,47.25,875.57
148,2023-05-23,1037,SC,Beleza,646.08,4,Cartão de Crédito,Entregue,23.91,2608.23
149,2023-06-20,1327,SP,Eletrônicos,910.97,1,Boleto,Entregue,55.59,966.5600000000001
150,2023-01-29,1250,SP,Eletrônicos,785.15,1,Pix,Entregue,11.63,796.78
151,2023-02-05,1900,SC,Eletrônicos,453.63,3,Pix,Entregue,102.51,1463.3999999999999
152,2023-01-13,1175,RS,Casa,39.5,4,Pix,Cancelado,66.48,224.48000000000002
153,2023-06-09,1601,RS,Casa,759.47,3,Cartão de Crédito,Em trânsito,25.31,2303.72
154,2023-11-23,1913,SC,Moda,449.87,1,Boleto,Entregue,36.07,485.94
155,2023-07-06,1453,BA,Moda,1109.87,2,Boleto,Entregue,59.28,2279.02
156,2023-08-31,1036,CE,Eletrônicos,65.2,4,Boleto,Entregue,30.78,291.58000000000004
157,2023-03-27,1315,PR,Beleza,889.7,1,Cartão de Crédito,Entregue,39.55,929.25
158,2023-10-11,1687,CE,Moda,1413.97,1,Cartão de Crédito,Em trânsito,68.78,1482.75
159,2023-03-07,1972,RS,Moda,286.38,2,Cartão de Crédito,Entregue,101.59,674.35
160,2023-06-19,1795,RJ,Casa,723.32,1,Cartão de Crédito,Entregue,54.2,777.5200000000001
161,2023-02-14,1964,MG,Beleza,164.39,1,Pix,Cancelado,88.87,253.26
162,2023-03-03,1972,SP,Eletrônicos,949.75,4,Cartão de Crédito,Cancelado,106.44,3905.44
163,2023-05-14,1592,SC,Moda,839.28,4,Cartão de Crédito,Entregue,33.79,3390.91
164,2023-10-11,1113,SC,Beleza,628.83,4,Cartão de Crédito,Entregue,98.79,2614.11
165,2023-01-28,1039,SP,Beleza,796.42,3,Boleto,Entregue,93.31,2482.5699999999997
166,2023-04-18,1300,MG,Eletrônicos,1347.96,2,Boleto,Em trânsito,49.26,2745.1800000000003
167,2023-02-13,1223,PR,Beleza,318.55,4,Boleto,Entregue,118.85,1393.05
168,2023-12-06,1317,MG,Beleza,63.17,3,Pix,Entregue,38.88,228.39
169,2023-10-13,1348,MG,Beleza,1296.65,3,Pix,Entregue,38.03,3927.9800000000005
170,2023-11-27,1114,MG,Moda,878.36,2,Cartão de Crédito,Entregue,94.95,1851.67
171,2023-05-08,1697,PR,Eletrônicos,1339.27,2,Boleto,Entregue,57.81,2736.35
172,2023-12-14,1322,PR,Beleza,907.51,1,Pix,Em trânsito,46.39,953.9
173,2023-08-19,1567,RS,Beleza,1220.94,3,Boleto,Cancelado,29.65,3692.4700000000003
174,2023-07-09,1039,SP,Moda,661.62,4,Pix,Em trânsito,94.19,2740.67
175,2023-08-13,1865,PR,Eletrônicos,1132.29,2,Pix,Entregue,96.5,2361.08
176,2023-10-10,1039,PR,Casa,1372.17,3,Cartão de Crédito,Cancelado,72.32,4188.83
177,2023-05-01,1858,RS,Moda,871.02,4,Cartão de Crédito,Cancelado,115.3,3599.38
178,2023-04-26,1972,SC,Eletrônicos,295.75,3,Pix,Entregue,45.0,932.25
179,2023-08-21,1748,RS,Beleza,425.13,2,Cartão de Crédito,Entregue,34.16,884.42
180,2023-09-16,1288,BA,Eletrônicos,322.01,1,Pix,Entregue,84.52,406.53
181,2023-12-25,1261,BA,Eletrônicos,392.88,3,Pix,Cancelado,93.42,1272.06
182,2023-07-17,1215,RJ,Eletrônicos,480.43,4,Boleto,Entregue,34.74,1956.46
183,2023-05-17,1146,MG,Casa,846.05,2,Cartão de Crédito,Em trânsito,18.43,1710.53
184,2023-11-14,1335,SP,Eletrônicos,894.35,1,Cartão de Crédito,Entregue,99.16,993.51
185,2023-06-14,1167,PE,Casa,656.95,4,Cartão de Crédito,Entregue,117.42,2745.2200000000003
186,2023-08-13,1091,CE,Beleza,934.67,4,Boleto,Entregue,80.91,3819.5899999999997
187,2023-11-03,1352,RS,Casa,149.92,4,Boleto,Entregue,40.57,640.25
188,2023-08-22,1570,SC,Beleza,159.05,3,Boleto,Entregue,119.63,596.78
189,2023-06-21,1570,CE,Beleza,282.59,2,Cartão de Crédito,Em trânsito,108.26,673.4399999999999
190,2023-06-01,1815,SC,Casa,791.57,4,Cartão de Crédito,Entregue,66.47,3232.75
191,2023-11-11,1680,CE,Moda,344.57,3,Cartão de Crédito,Entregue,100.79,1134.5
192,2023-06-09,1780,RS,Esporte,446.43,2,Boleto,Entregue,99.74,992.6
193,2023-04-06,1362,PE,Eletrônicos,618.46,2,Boleto,Entregue,112.83,1349.75
194,2023-08-21,1556,CE,Esporte,1223.44,3,Pix,Entregue,102.5,3772.82
195,2023-06-29,1344,RS,Eletrônicos,50.38,3,Boleto,Entregue,80.8,231.94
196,2023-04-23,1692,PR,Eletrônicos,984.59,4,Pix,Cancelado,77.02,4015.38
197,2023-11-14,1169,PE,Beleza,1013.25,2,Cartão de Crédito,Entregue,61.41,2087.91
198,2023-02-21,1355,SC,Eletrônicos,1204.02,1,Boleto,Entregue,78.91,1282.93
199,2023-09-25,1190,BA,Eletrônicos,1401.15,3,Cartão de Crédito,Entregue,97.47,4300.920000000001
200,2023-10-22,1666,MG,Casa,59.6,2,Cartão de Crédito,Entregue,116.59,235.79000000000002
201,2023-04-23,1421,BA,Esporte,256.06,2,Cartão de Crédito,Em trânsito,61.4,573.52
202,2023-04-11,1699,PE,Casa,1332.67,4,Cartão de Crédito,Entregue,73.1,5403.780000000001
203,2023-04-23,1006,SC,Eletrônicos,704.02,1,Boleto,Em trânsito,58.93,762.9499999999999
204,2023-03-22,1132,CE,Beleza,859.95,4,Cartão de Crédito,Entregue,83.53,3523.3300000000004
205,2023-07-06,1746,SC,Casa,1004.65,1,Pix,Entregue,79.29,1083.94
206,2023-04-23,1556,CE,Casa,1028.23,1,Boleto,Cancelado,11.96,1040.19
207,2023-01-02,1825,RS,Moda,1399.66,3,Cartão de Crédito,Entregue,69.53,4268.51
208,2023-05-10,1760,PE,Eletrônicos,1495.52,2,Boleto,Entregue,19.73,3010.77
209,2023-08-08,1030,RS,Beleza,1088.63,2,Pix,Entregue,12.9,2190.1600000000003
210,2023-02-23,1534,RJ,Casa,452.22,2,Cartão de Crédito,Cancelado,97.03,1001.47
211,2023-12-09,1425,CE,Casa,1323.24,1,Pix,Entregue,38.45,1361.69
212,2023-08-12,1393,PR,Beleza,102.35,2,Cartão de Crédito,Entregue,47.47,252.17
213,2023-08-13,1671,RS,Eletrônicos,369.69,3,Pix,Entregue,17.05,1126.12
214,2023-05-06,1362,RJ,Moda,1349.16,1,Cartão de Crédito,Entregue,29.75,1378.91
215,2023-05-10,1436,SP,Casa,406.6,1,Boleto,Em trânsito,94.22,500.82000000000005
216,2023-02-22,1669,BA,Moda,354.36,1,Cartão de Crédito,Entregue,64.29,418.65000000000003
217,2023-06-21,1550,SC,Esporte,233.04,1,Boleto,Entregue,106.87,339.90999999999997
218,2023-08-06,1926,RJ,Eletrônicos,1292.89,3,Cartão de Crédito,Cancelado,53.7,3932.37
219,2023-06-09,1081,PE,Esporte,765.09,2,Cartão de Crédito,Entregue,39.56,1569.74
220,2023-07-17,1355,RS,Esporte,1022.09,3,Pix,Entregue,48.24,3114.5099999999998
221,2023-09-04,1257,PE,Esporte,381.43,2,Pix,Entregue,88.4,851.26
222,2023-11-20,1717,BA,Eletrônicos,1144.32,3,Pix,Entregue,71.05,3504.01
223,2023-07-22,1588,PR,Eletrônicos,1147.21,4,Cartão de Crédito,Entregue,109.46,4698.3
224,2023-07-03,1988,PE,Beleza,489.52,4,Cartão de Crédito,Entregue,76.24,2034.32
225,2023-05-03,1523,CE,Moda,633.7,4,Cartão de Crédito,Entregue,64.23,2599.03
226,2023-09-12,1294,PR,Moda,338.24,4,Boleto,Entregue,96.43,1449.39
227,2023-10-21,1961,PR,Beleza,1465.54,1,Boleto,Entregue,114.23,1579.77
228,2023-10-07,1223,RJ,Beleza,979.04,1,Cartão de Crédito,Entregue,49.14,1028.18
229,2023-11-21,1524,PR,Esporte,1403.78,3,Pix,Entregue,37.49,4248.83
230,2023-04-08,1045,MG,Beleza,475.98,3,Pix,Em trânsito,77.78,1505.72
231,2023-07-17,1666,BA,Casa,1179.38,4,Pix,Entregue,64.88,4782.400000000001
232,2023-08-28,1112,PR,Moda,1155.81,2,Cartão de Crédito,Entregue,118.81,2430.43
233,2023-05-24,1232,PE,Beleza,1046.73,4,Pix,Entregue,60.86,4247.78
234,2023-04-07,1016,SP,Casa,1449.49,3,Cartão de Crédito,Cancelado,18.18,4366.650000000001
235,2023-07-20,1359,MG,Casa,608.53,4,Boleto,Em trânsito,117.51,2551.63
236,2023-05-04,1222,MG,Casa,222.15,3,Pix,Entregue,102.79,769.24
237,2023-07-06,1865,CE,Casa,1017.41,4,Boleto,Entregue,29.61,4099.25
238,2023-11-22,1699,PR,Esporte,1102.09,2,Pix,Entregue,109.51,2313.69
239,2023-12-15,1447,CE,Casa,875.34,4,Cartão de Crédito,Entregue,47.47,3548.83
240,2023-09-16,1855,CE,Esporte,334.02,2,Cartão de Crédito,Entregue,51.48,719.52
241,2023-05-28,1364,SP,Esporte,771.55,2,Cartão de Crédito,Cancelado,109.7,1652.8
242,2023-09-09,1674,RJ,Casa,488.92,3,Cartão de Crédito,Entregue,68.31,1535.07
243,2023-12-12,1325,PR,Moda,658.38,2,Pix,Entregue,25.15,1341.91
244,2023-05-27,1466,RS,Casa,978.47,1,Boleto,Entregue,50.6,1029.07
245,2023-05-28,1413,CE,Casa,1125.47,1,Cartão de Crédito,Entregue,89.43,1214.9
246,2023-12-18,1454,BA,Casa,371.37,1,Pix,Em trânsito,29.16,400.53000000000003
247,2023-07-18,1585,SC,Moda,625.83,3,Boleto,Cancelado,74.93,1952.4200000000003
248,2023-11-04,1232,BA,Eletrônicos,425.67,1,Cartão de Crédito,Entregue,86.48,512.15
249,2023-05-08,1223,SP,Eletrônicos,321.99,3,Boleto,Entregue,47.82,1013.7900000000001
250,2023-02-08,1993,SP,Esporte,1181.58,3,Cartão de Crédito,Entregue,86.33,3631.0699999999997
251,2023-12-04,1830,PE,Esporte,1366.6,1,Boleto,Entregue,107.26,1473.86
252,2023-12-26,1411,RJ,Moda,574.24,2,Boleto,Entregue,61.93,1210.41
253,2023-05-09,1571,CE,Beleza,1134.38,4,Cartão de Crédito,Entregue,52.12,4589.64
254,2023-09-24,1334,BA,Eletrônicos,1348.58,3,Pix,Cancelado,37.63,4083.37
255,2023-05-31,1221,SC,Esporte,1273.8,1,Boleto,Entregue,76.46,1350.26
256,2023-10-25,1036,SP,Eletrônicos,298.74,3,Cartão de Crédito,Cancelado,106.78,1003.0
257,2023-04-09,1988,SP,Moda,1435.75,2,Boleto,Entregue,45.71,2917.21
258,2023-09-20,1277,RJ,Moda,583.71,2,Boleto,Em trânsito,53.59,1221.01
259,2023-09-09,1195,SC,Beleza,528.68,1,Pix,Entregue,54.73,583.41
260,2023-05-24,1915,SC,Beleza,121.77,3,Boleto,Entregue,71.69,437.0
261,2023-12-12,1863,RJ,Moda,744.68,4,Boleto,Entregue,35.12,3013.8399999999997
262,2023-04-22,1483,SP,Esporte,190.25,4,Cartão de Crédito,Cancelado,100.44,861.44
263,2023-03-01,1241,PR,Eletrônicos,395.35,3,Cartão de Crédito,Entregue,42.52,1228.5700000000002
264,2023-01-02,1323,PR,Casa,495.91,3,Pix,Entregue,87.59,1575.32
265,2023-10-31,1730,RJ,Beleza,1218.97,3,Boleto,Entregue,66.45,3723.3599999999997
266,2023-09-11,1191,SC,Casa,1316.97,1,Boleto,Entregue,74.45,1391.42
267,2023-05-20,1016,CE,Esporte,474.63,2,Boleto,Entregue,29.76,979.02
268,2023-02-06,1523,RJ,Beleza,1292.29,4,Pix,Cancelado,90.85,5260.01
269,2023-06-09,1917,RJ,Casa,1290.13,1,Boleto,Entregue,30.75,1320.88
270,2023-01-09,1400,MG,Esporte,1154.04,3,Cartão de Crédito,Entregue,22.48,3484.6
271,2023-08-21,1905,BA,Eletrônicos,245.64,3,Pix,Entregue,70.13,807.05
272,2023-04-09,1885,SC,Esporte,1044.77,2,Cartão de Crédito,Entregue,88.02,2177.56
273,2023-05-27,1704,PE,Beleza,1419.19,3,Cartão de Crédito,Entregue,15.5,4273.07
274,2023-10-31,1021,PE,Moda,1033.33,1,Pix,Entregue,17.63,1050.96
275,2023-07-27,1473,SC,Eletrônicos,517.48,1,Cartão de Crédito,Entregue,98.29,615.77
276,2023-05-11,1119,MG,Casa,765.85,2,Boleto,Entregue,98.99,1630.69
277,2023-06-01,1209,MG,Beleza,979.22,1,Pix,Em trânsito,36.98,1016.2
278,2023-02-23,1305,SP,Moda,780.54,4,Cartão de Crédito,Entregue,77.68,3199.8399999999997
279,2023-04-30,1269,BA,Esporte,206.33,1,Boleto,Entregue,58.75,265.08000000000004
280,2023-06-10,1703,PR,Moda,488.73,1,Boleto,Cancelado,79.6,568.33
281,2023-04-26,1686,RS,Beleza,1209.52,1,Cartão de Crédito,Entregue,104.92,1314.44
282,2023-03-16,1284,RS,Beleza,1296.28,4,Boleto,Entregue,18.78,5203.9
283,2023-04-23,1715,RS,Moda,231.83,3,Pix,Entregue,95.58,791.07
284,2023-04-14,1675,SC,Esporte,1430.01,1,Cartão de Crédito,Cancelado,64.23,1494.24
285,2023-12-06,1762,PE,Moda,513.37,2,Boleto,Entregue,72.05,1098.79
286,2023-09-11,1226,PE,Beleza,1003.6,4,Boleto,Entregue,81.93,4096.33
287,2023-08-15,1947,PR,Beleza,1135.18,2,Cartão de Crédito,Entregue,111.49,2381.85
288,2023-04-22,1380,SC,Casa,1223.56,1,Cartão de Crédito,Entregue,16.24,1239.8
289,2023-04-09,1459,RS,Casa,1420.25,2,Cartão de Crédito,Entregue,13.24,2853.74
